"","MAJOR_MARKET_CODE_C","ROOM_NUM_C","ROOM_TYPE_CODE_C","CHECK_IN_DATE_C","LENGTH_OF_STAY_C","ADULT_NUM_C","POV_CODE_C","PMS_ROOM_REV_USD_C","PMS_FOOD_BEVERAGE_REV_USD_C","RESERVATION_STATUS_R","MAJOR_MARKET_CODE_R","GUEST_COUNTRY_R","MEMBER_STATUS_R","PAST_VS_FUTURE_R","REVENUE_USD_R","Guest_Room_H","Tranquility_H","Condition_Hotel_H","Customer_SVC_H","Staff_Cared_H","Internet_Sat_H","Check_In_H","F.B_Overall_Experience_H","City_PL","State_PL","Guest.NPS.Goal_PL","Brand_PL","Club.Type_PL","Hotel.Inventory_PL","Floors_PL","Union_PL","Relationship_PL","All.Suites_PL","Bell.Staff_PL","Boutique_PL","Business.Center_PL","Casino_PL","Conference_PL","Convention_PL","Dry.Cleaning_PL","Elevators_PL","Fitness.Center_PL","Fitness.Trainer_PL","Golf_PL","Indoor.Corridors_PL","Laundry_PL","Limo.Service_PL","Mini.Bar_PL","Pool.Indoor_PL","Pool.Outdoor_PL","Regency.Grand.Club_PL","Resort_PL","Restaurant_PL","Self.Parking_PL","Shuttle.Service_PL","Ski_PL","Spa_PL","Spa.services.in.fitness.center_PL","Spa.online.booking_PL","Spa.F.B.offering_PL","Valet.Parking_PL","Booking_Channel","NPS_Type"
"3874","TRANSIENT","0536","VW1K","2014-12-12",2,1,"BUSINESS",157.08,0,"CONFRM","TRANSIENT","","","Future",157.08,NA,NA,NA,NA,NA,NA,NA,NA,"Valencia","California",48,"Hyatt Regency","",244,6,"No","Franchised","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","N","N","N","N","","","Y","Internet",""
"3875","TRANSIENT","0603","1VWK","2014-12-25",1,2,"BUSINESS",407.2,69.17,"CONFRM","TRANSIENT","SOUTH KOREA","","Future",403.33,NA,NA,NA,NA,NA,NA,NA,NA,"Busan","",55,"Park Hyatt","",269,33,"No","Managed","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","Y","","","","","Hotel",""
"3876","TRANSIENT","0518","DDBL","2014-12-19",2,2,"BUSINESS",101.06,10.5,"CONFRM","TRANSIENT","","","Future",101.06,NA,NA,NA,NA,NA,NA,NA,NA,"Norcross","Georgia",55,"Hyatt Place","",126,6,"No","Owned","Y","N","N","N","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Internet",""
"3877","TRANSIENT","0531","TWIN","2014-12-12",3,2,"BUSINESS",264.42,0,"CONFRM","TRANSIENT","CHINA","","Past",117.07,NA,NA,NA,NA,NA,NA,NA,NA,"Sabah","",45,"Hyatt Regency","Regency Club",305,12,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","N","N","Y","","N","N","Y","Internet",""
"3878","TRANSIENT","0409","KING","2014-12-01",1,2,"BUSINESS",99,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",99,NA,NA,NA,NA,NA,NA,NA,NA,"Milwaukee","Wisconsin",71,"Hyatt Place","",99,4,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","Y","N","N","N","N","Y","Y","N","N","N","","","N","Digital Channels",""
"3879","TRANSIENT","1733","REGK","2014-12-19",2,2,"BUSINESS",102,86.85,"CONFRM","TRANSIENT","","","Future",102,NA,NA,NA,NA,NA,NA,NA,NA,"Milwaukee","Wisconsin",41,"Hyatt Regency","Regency Club",484,21,"No","Franchised","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","","","Y","Opaque",""
"3880","TRANSIENT","0403","KING","2014-12-14",3,1,"BUSINESS",342,0,"CONFRM","TRANSIENT","","","Future",342,NA,NA,NA,NA,NA,NA,NA,NA,"Richmond","Virginia",57,"Hyatt Place","",127,6,"No","Owned","Y","N","N","N","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","N","N","N","N","","","N","GDS",""
"3881","TRANSIENT","0827","DDBL","2014-12-03",2,2,"BUSINESS",438,103.07,"CONFRM","TRANSIENT","","","Past",657,NA,NA,NA,NA,NA,NA,NA,NA,"Miami","Florida",13,"Hyatt Regency","Regency Club",612,24,"No","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","N","Y","N","N","Y","Y","N","Y","Y","N","N","N","N","","","Y","Internet",""
"3882","TRANSIENT","0415","QNQN","2014-12-09",1,2,"BUSINESS",62,0,"CONFRM","TRANSIENT","","","Past",62,NA,NA,NA,NA,NA,NA,NA,NA,"Herndon","Virginia",62,"Hyatt Place","",151,6,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","Y","N","N","N","N","Y","Y","N","N","N","","","N","Opaque",""
"3883","CONVENTION","5127","TWIN","2014-12-22",1,2,"BUSINESS",46.72,31.07,"SHARE","CONVENTION","INDIA","","Future",101.96,NA,NA,NA,NA,NA,NA,NA,NA,"Mumbai","",50,"Grand Hyatt","Grand Club",547,10,"Yes","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","N","N","Y","","Y","Y","Y","Digital Channels",""
"3884","CONVENTION","1197","CORN","2014-12-01",2,1,"BUSINESS",512,20.5,"CONFRM","CONVENTION","UNITED STATES","","Future",512,NA,NA,NA,NA,NA,NA,NA,NA,"Chicago","Illinois",42,"Hyatt Regency","",800,33,"Yes","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","","","Y","Digital Channels",""
"3885","CONVENTION","0657","KING","2014-12-22",1,1,"BUSINESS",75,0,"CONFRM","CONVENTION","UNITED STATES","","Future",75,NA,NA,NA,NA,NA,NA,NA,NA,"Arlington","Virginia",49,"Hyatt Regency","",685,18,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Digital Channels",""
"3886","CONVENTION","0508","QUEN","2014-12-03",3,1,"BUSINESS",537,0,"CONFRM","CONVENTION","UNITED STATES","","Future",358,NA,NA,NA,NA,NA,NA,NA,NA,"San Diego","California",49,"Andaz","",159,6,"No","Managed","N","Y","Y","N","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","N","N","N","N","N","","","Y","Global Contact Center",""
"3887","TRANSIENT","0314","DDBL","2014-12-12",2,2,"LEISURE",0,0,"SHARE","TRANSIENT","UNITED STATES","","Future",0,NA,NA,NA,NA,NA,NA,NA,NA,"Washington","District of Columbia",47,"Grand Hyatt","Grand Club",888,12,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","N","Y","N","Y","N","Y","Y","N","N","Y","Y","","","Y","Hotel",""
"3888","TRANSIENT","0936","CLBK","2014-12-17",2,1,"LEISURE",0,-7.67,"CONFRM","TRANSIENT","UNITED STATES","","Future",0,NA,NA,NA,NA,NA,NA,NA,NA,"Palm Beach","",66,"Hyatt Regency","Regency Club",360,9,"No","Owned","N","Y","N","Y","Y","N","N","Y","Y","Y","N","N","N","Y","N","Y","N","Y","Y","N","Y","Y","N","N","N","","Y","Y","Y","Hotel",""
"3889","TRANSIENT","0311","KING","2014-12-19",3,2,"LEISURE",276,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",276,NA,NA,NA,NA,NA,NA,NA,NA,"Sarasota","Florida",77,"Hyatt Place","",114,3,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","","N","N","N","Global Contact Center",""
"3890","TRANSIENT","1601","AXLK","2014-12-17",7,2,"BUSINESS",1355.57,-40.5,"CONFRM","TRANSIENT","CHINA","Diamond","Future",999.89,NA,NA,NA,NA,NA,NA,NA,NA,"Shanghai","",56,"Andaz","",307,24,"No","Managed","N","Y","Y","N","N","N","N","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","N","N","Y","N","N","N","Y","","N","N","N","Digital Channels",""
"3891","TRANSIENT","1634","DLXD","2014-12-08",3,1,"BUSINESS",612,0,"CONFRM","TRANSIENT","UNITED STATES","Diamond","Future",612,NA,NA,NA,NA,NA,NA,NA,NA,"Los Angeles","California",44,"Hyatt Regency","Regency Club",728,19,"Yes","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","N","N","Y","","N","N","Y","Digital Channels",""
"3892","TRANSIENT","0539","KING","2014-12-22",1,1,"BUSINESS",115,0,"CONFRM","TRANSIENT","UNITED STATES","Diamond","Future",115,NA,NA,NA,NA,NA,NA,NA,NA,"Riverside","California",71,"Hyatt Place","",125,5,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Hotel",""
"3893","TRANSIENT","1616","KING","2014-12-08",1,1,"BUSINESS",262.93,41.67,"CONFRM","TRANSIENT","SINGAPORE","Platinum","Future",256,NA,NA,NA,NA,NA,NA,NA,NA,"Jakarta","",57,"Grand Hyatt","Grand Club",447,26,"Yes","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","N","N","Y","Y","","","Y","Hotel",""
"3894","TRANSIENT","2001","AXLK","2014-12-20",1,2,"LEISURE",504.33,0,"CONFRM","TRANSIENT","CHINA","Gold","Future",505.14,NA,NA,NA,NA,NA,NA,NA,NA,"Shanghai","",56,"Andaz","",307,24,"No","Managed","N","Y","Y","N","N","N","N","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","N","N","Y","N","N","N","Y","","N","N","N","Hotel",""
"3895","TRANSIENT","0202","QNQN","2014-12-26",1,2,"LEISURE",99,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",99,NA,NA,NA,NA,NA,NA,NA,NA,"Milwaukee","Wisconsin",71,"Hyatt Place","",99,4,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","Y","N","N","N","N","Y","Y","N","N","N","","","N","Hotel",""
"3896","TRANSIENT","1208","BUSK","2014-12-22",2,1,"BUSINESS",178.76,0,"CONFRM","TRANSIENT","UNITED STATES","Diamond","Future",178.76,NA,NA,NA,NA,NA,NA,NA,NA,"Santa Clara","California",42,"Hyatt Regency","Regency Club",501,14,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","Y","N","Y","Y","N","N","N","N","","","N","Digital Channels",""
"3897","TRANSIENT","0289","RCLK","2014-12-13",1,1,"BUSINESS",191.94,30.31,"CONFRM","TRANSIENT","CANADA","Platinum","Future",192.88,NA,NA,NA,NA,NA,NA,NA,NA,"Mumbai","",56,"Hyatt Regency","Regency Club",394,7,"Yes","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","N","N","Y","","Y","N","Y","GDS",""
"3898","TRANSIENT","B101","RS2B","2014-12-26",1,2,"BUSINESS",259.86,249.7,"CONFRM","TRANSIENT","TAIWAN","","Future",258.72,NA,NA,NA,NA,NA,NA,NA,NA,"Danang","",53,"Hyatt Regency","Regency Club",200,2,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","N","Y","","Y","Y","Y","Internet",""
"3899","TRANSIENT","325","1VWK","2014-12-05",1,1,"BUSINESS",508.97,149.52,"CONFRM","TRANSIENT","QATAR","","Future",508.67,NA,NA,NA,NA,NA,NA,NA,NA,"Doha","",50,"Grand Hyatt","Grand Club",340,6,"No","Managed","Y","Y","N","Y","N","N","N","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","N","N","Y","","Y","N","Y","Internet",""
"3900","CONVENTION","2156","KING","2014-12-26",1,1,"BUSINESS",93.84,0,"CONFRM","CONVENTION","CHINA","","Future",220.64,NA,NA,NA,NA,NA,NA,NA,NA,"Lijiang","",NA,"Grand Hyatt","",312,NA,"No","Managed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hotel",""
"3901","TRANSIENT","0805","KING","2014-12-08",1,2,"BUSINESS",170.69,0,"CONFRM","TRANSIENT","CHINA","","Past",170.7,NA,NA,NA,NA,NA,NA,NA,NA,"Suzhou","",NA,"Hyatt Regency","Regency Club",355,NA,"No","Managed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Internet",""
"3902","TRANSIENT","0801","PEXK","2014-12-14",1,1,"BUSINESS",179.1,18,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Past",179.1,NA,NA,NA,NA,NA,NA,NA,NA,"Pittsburgh","Pennsylvania",52,"Hyatt Regency","",336,11,"No","Franchised","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","N","Y","N","N","N","Y","Y","Y","N","N","N","","","N","GDS",""
"3903","TRANSIENT","1112","DDBL","2014-12-06",1,2,"BUSINESS",179.1,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",179.1,NA,NA,NA,NA,NA,NA,NA,NA,"Bellevue","Washington",60,"Hyatt Regency","Regency Club",382,24,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","N","Y","N","Y","N","Y","Y","Y","N","N","N","","","Y","Global Contact Center",""
"3904","CONVENTION","1613","DDBL","2014-12-08",4,1,"BUSINESS",556,0,"CONFRM","CONVENTION","HONG KONG","","Future",596,NA,NA,NA,NA,NA,NA,NA,NA,"Philadelphia","Pennsylvania",50,"Hyatt Regency","",346,22,"Yes","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","N","Y","N","N","N","Y","Y","N","N","N","N","","","Y","Digital Channels",""
"3905","TRANSIENT","2468","VW2D","2014-12-06",3,1,"LEISURE",0,73.34,"CONFRM","TRANSIENT","UNITED STATES","","Future",0,NA,NA,NA,NA,NA,NA,NA,NA,"San Diego","California",62,"Grand Hyatt","Grand Club",1625,40,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","Y","N","Y","Y","N","N","Y","","Y","Y","Y","Hotel",""
"3906","TRANSIENT","1827","1VWK","2014-12-02",1,1,"BUSINESS",177.11,0,"CONFRM","TRANSIENT","CHINA","Platinum","Future",181.87,NA,NA,NA,NA,NA,NA,NA,NA,"Tokyo","",NA,"Hyatt Regency","",744,32,"No","Franchised","N","","N","","N","N","Y","","","","","N","Y","","","","","","","N","Y","","","N","Y","","","","","GDS",""
"3907","TRANSIENT","2402","TWIN","2014-12-21",2,2,"BUSINESS",167.28,0,"CONFRM","TRANSIENT","JAPAN","","Future",220.32,NA,NA,NA,NA,NA,NA,NA,NA,"Suminoe-Ku","",45,"Hyatt Regency","Regency Club",500,18,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","N","Y","","Y","N","N","Hotel",""
"3908","TRANSIENT","0815","HFLK","2014-12-20",1,2,"BUSINESS",0,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",0,10,NA,10,10,NA,NA,NA,NA,"Atlanta","Georgia",55,"Hyatt Place","",171,8,"No","Owned","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center","Promoter"
"3909","CONVENTION","0820","2VWD","2014-12-13",6,1,"BUSINESS",1254,0,"CONFRM","CONVENTION","UNITED STATES","","Future",1254,NA,NA,NA,NA,NA,NA,NA,NA,"San Francisco","California",42,"Hyatt Regency","Regency Club",805,17,"Yes","Leased","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","N","Y","N","Y","N","N","N","N","N","","","Y","Digital Channels",""
"3910","TRANSIENT","1141","PRMK","2014-12-03",2,1,"BUSINESS",645.98,362.61,"CONFRM","TRANSIENT","CHINA","","Future",678.6,NA,NA,NA,NA,NA,NA,NA,NA,"Taipei","",51,"Grand Hyatt","Grand Club",872,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","N","Y","N","","","Y","Internet",""
"3911","TRANSIENT","0701","KING","2014-12-13",1,2,"BUSINESS",80.69,0,"CONFRM","TRANSIENT","","","Past",80.69,NA,NA,NA,NA,NA,NA,NA,NA,"Chesterfield","Missouri",NA,"Hyatt Place","",145,8,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Internet",""
