"","MAJOR_MARKET_CODE_C","ROOM_NUM_C","ROOM_TYPE_CODE_C","CHECK_IN_DATE_C","LENGTH_OF_STAY_C","ADULT_NUM_C","POV_CODE_C","PMS_ROOM_REV_USD_C","PMS_FOOD_BEVERAGE_REV_USD_C","RESERVATION_STATUS_R","MAJOR_MARKET_CODE_R","GUEST_COUNTRY_R","MEMBER_STATUS_R","PAST_VS_FUTURE_R","REVENUE_USD_R","Guest_Room_H","Tranquility_H","Condition_Hotel_H","Customer_SVC_H","Staff_Cared_H","Internet_Sat_H","Check_In_H","F.B_Overall_Experience_H","City_PL","State_PL","Guest.NPS.Goal_PL","Brand_PL","Club.Type_PL","Hotel.Inventory_PL","Floors_PL","Union_PL","Relationship_PL","All.Suites_PL","Bell.Staff_PL","Boutique_PL","Business.Center_PL","Casino_PL","Conference_PL","Convention_PL","Dry.Cleaning_PL","Elevators_PL","Fitness.Center_PL","Fitness.Trainer_PL","Golf_PL","Indoor.Corridors_PL","Laundry_PL","Limo.Service_PL","Mini.Bar_PL","Pool.Indoor_PL","Pool.Outdoor_PL","Regency.Grand.Club_PL","Resort_PL","Restaurant_PL","Self.Parking_PL","Shuttle.Service_PL","Ski_PL","Spa_PL","Spa.services.in.fitness.center_PL","Spa.online.booking_PL","Spa.F.B.offering_PL","Valet.Parking_PL","Booking_Channel","NPS_Type"
"1","TRANSIENT","0411","KING","2014-12-05",2,2,"BUSINESS",160,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",160,NA,NA,NA,NA,NA,NA,NA,NA,"Lone Tree","Colorado",58,"Hyatt Place","",127,6,"No","Managed","Y","N","N","Y","N","N","N","N","Y","Y","N","N","Y","N","N","N","Y","N","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center",""
"2","TRANSIENT","0281","KNNS","2014-12-01",22,1,"BUSINESS",2970,6,"CONFRM","TRANSIENT","","","Future",2970,NA,NA,NA,NA,NA,NA,NA,NA,"San Diego","California",58,"Hyatt House","",194,4,"No","Managed","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","N","GDS",""
"3","TRANSIENT","1110","KING","2014-12-12",1,1,"BUSINESS",159.81,0,"CONFRM","TRANSIENT","CHINA","","Past",159.82,NA,NA,NA,NA,NA,NA,NA,NA,"Guangzhou","",65,"Grand Hyatt","Grand Club",375,22,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","Y","N","Y","","Y","Y","N","Internet",""
"4","CONVENTION","0234","1BKN","2014-12-20",1,2,"BUSINESS",124,0,"CONFRM","CONVENTION","UNITED STATES","Gold","Future",124,10,NA,10,10,NA,NA,NA,NA,"Parsippany","New Jersey",63,"Hyatt House","",140,3,"No","Owned","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center","Promoter"
"5","TRANSIENT","0244","2BTN","2014-12-19",1,2,"BUSINESS",242.1,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",242.1,NA,NA,NA,NA,NA,NA,NA,NA,"Sandy","Utah",70,"Hyatt House","",137,4,"No","Managed","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Global Contact Center",""
"6","CONVENTION","524","DLXK","2014-12-09",8,1,"BUSINESS",1472.93,1500.79,"CONFRM","CONVENTION","UNITED STATES","","Past",1640.87,NA,NA,NA,NA,NA,NA,NA,NA,"Taksim","",72,"Grand Hyatt","Grand Club",360,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","N","N","Y","","N","N","Y","Hotel",""
"7","TRANSIENT","1001","OVRK","2014-12-21",3,3,"BUSINESS",664.77,132,"CONFRM","TRANSIENT","","","Past",579.15,NA,NA,NA,NA,NA,NA,NA,NA,"Austin","Texas",48,"Hyatt","",189,4,"No","Owned","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Internet",""
"8","TRANSIENT","1061","QUEN","2014-12-17",4,2,"BUSINESS",300,0,"CONFRM","TRANSIENT","","","Future",300,NA,NA,NA,NA,NA,NA,NA,NA,"Baltimore","Maryland",49,"Hyatt Regency","Regency Club",487,14,"No","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","N","N","N","","","Y","Opaque",""
"9","TRANSIENT","0606","DDBL","2014-12-23",4,2,"LEISURE",340,24,"CONFRM","TRANSIENT","UNITED STATES","","Future",340,NA,NA,NA,NA,NA,NA,NA,NA,"Auburn Hills","Michigan",66,"Hyatt Place","",127,6,"No","Owned","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","Y","N","N","N","N","Y","N","N","N","N","","","N","Digital Channels",""
"10","TRANSIENT","1527","KING","2014-12-20",3,1,"LEISURE",0,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",0,NA,NA,NA,NA,NA,NA,NA,NA,"Boston","Massachusetts",45,"Hyatt Regency","",498,22,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","","","Y","Hotel",""
"11","TRANSIENT","1530","KING","2014-12-21",1,1,"BUSINESS",79.2,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",79.2,NA,NA,NA,NA,NA,NA,NA,NA,"Chicago","Illinois",68,"Hyatt Place","",212,16,"No","Franchised","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Digital Channels",""
"12","CONVENTION","1121","BUSN","2014-12-08",1,1,"BUSINESS",165,0,"CONFRM","CONVENTION","UNITED STATES","","Future",165,NA,NA,NA,NA,NA,NA,NA,NA,"Pittsburgh","Pennsylvania",52,"Hyatt Regency","",336,11,"No","Franchised","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","N","Y","N","N","N","Y","Y","Y","N","N","N","","","N","Digital Channels",""
"13","CONVENTION","1601","KING","2014-12-03",2,2,"BUSINESS",558,0,"SHARE","CONVENTION","UNITED STATES","","Past",558,NA,NA,NA,NA,NA,NA,NA,NA,"San Francisco","California",60,"Grand Hyatt","Grand Club",685,36,"Yes","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","N","Y","N","Y","Y","N","N","N","N","","","Y","Digital Channels",""
"14","TRANSIENT","0306","STQN","2014-12-16",2,1,"BUSINESS",310,53,"CONFRM","TRANSIENT","UNITED STATES","Diamond","Future",310,NA,NA,NA,NA,NA,NA,NA,NA,"Parsippany","New Jersey",63,"Hyatt House","",140,3,"No","Owned","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Hotel",""
"15","TRANSIENT","1015","BUSK","2014-12-08",3,1,"BUSINESS",484.2,17.69,"CONFRM","TRANSIENT","UNITED STATES","Diamond","Future",688,NA,NA,NA,NA,NA,NA,NA,NA,"Bethesda","Maryland",35,"Hyatt Regency","",390,11,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","Y","N","Y","N","N","N","Y","Y","N","N","N","N","","","Y","Hotel",""
"16","CONVENTION","0611","1BKN","2014-12-11",3,2,"BUSINESS",285,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",107,NA,NA,NA,NA,NA,NA,NA,NA,"Addison","Texas",64,"Hyatt House","",132,3,"No","Franchised","Y","","N","","N","N","N","","","","","N","N","","","","","","","N","N","","","N","N","","","","","Hotel",""
"17","TRANSIENT","0414","KING","2014-12-01",1,1,"BUSINESS",111.6,0,"CONFRM","TRANSIENT","","","Past",111.6,NA,NA,NA,NA,NA,NA,NA,NA,"Overland Park","Kansas",76,"Hyatt Place","",134,6,"No","Managed","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","GDS",""
"18","TRANSIENT","618","CLVK","2014-12-24",2,1,"BUSINESS",138.31,24.23,"CONFRM","TRANSIENT","ITALY","Platinum","Future",118.64,NA,NA,NA,NA,NA,NA,NA,NA,"Dar es Salaam","",66,"Hyatt Regency","",180,7,"No","Managed","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","N","N","Y","","Y","N","N","Digital Channels",""
"19","TRANSIENT","1608","RM2Q","2014-12-08",3,1,"LEISURE",489,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",489,NA,NA,NA,NA,NA,NA,NA,NA,"Philadelphia","Pennsylvania",54,"Hyatt","",172,19,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","Y","N","N","N","Y","Y","N","N","N","","N","N","Y","Digital Channels",""
"20","TRANSIENT","2421","2BKN","2014-12-22",1,1,"BUSINESS",78.49,0,"CONFRM","TRANSIENT","","","Past",78.49,NA,NA,NA,NA,NA,NA,NA,NA,"Gaithersburg","Maryland",60,"Hyatt House","",140,3,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Internet",""
"21","TRANSIENT","2510","VIEW","2014-12-05",2,1,"BUSINESS",358.25,0,"CONFRM","TRANSIENT","CANADA","","Future",362.02,NA,NA,NA,NA,NA,NA,NA,NA,"Vancouver","British Columbia",67,"Hyatt Regency","Regency Club",644,34,"Yes","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","Y","N","Y","Y","N","N","Y","","N","N","Y","Digital Channels",""
"22","TRANSIENT","0206","1BKN","2014-12-27",1,1,"BUSINESS",107,0,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Future",107,NA,NA,NA,NA,NA,NA,NA,NA,"Burlington","Massachusetts",72,"Hyatt House","",150,3,"No","Owned","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Digital Channels",""
"23","CONVENTION","2525","VWQN","2014-12-08",2,2,"BUSINESS",358,0,"SHARE","CONVENTION","UNITED STATES","","Future",358,NA,NA,NA,NA,NA,NA,NA,NA,"Dallas","Texas",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Digital Channels",""
"24","TRANSIENT","1503","BUSN","2014-12-23",1,1,"BUSINESS",89.1,109,"CONFRM","TRANSIENT","","","Future",89.1,NA,NA,NA,NA,NA,NA,NA,NA,"Buffalo","New York",52,"Hyatt Regency","",394,16,"Yes","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","Y","N","N","N","Y","Y","N","N","Y","","N","Y","Y","GDS",""
"25","TRANSIENT","0502","KING","2014-12-25",3,2,"BUSINESS",183.87,0,"CONFRM","TRANSIENT","","","Future",183.87,NA,NA,NA,NA,NA,NA,NA,NA,"Columbus","Georgia",71,"Hyatt Place","",82,5,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Internet",""
"26","TRANSIENT","0415","QNQN","2014-12-05",2,4,"LEISURE",312,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",312,10,10,10,10,10,10,10,9,"Redmond","Washington",73,"Hyatt House","",144,5,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Hotel","Promoter"
"27","TRANSIENT","0512","VW1D","2014-12-15",3,2,"BUSINESS",321.06,176,"CONFRM","TRANSIENT","","","Future",321.06,NA,NA,NA,NA,NA,NA,NA,NA,"Austin","Texas",48,"Hyatt Regency","",448,17,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","N","N","N","N","","","Y","Internet",""
"28","TRANSIENT","2065","QNQN","2014-12-13",1,3,"BUSINESS",134.48,0,"CONFRM","TRANSIENT","UNITED STATES","","Past",134.48,NA,NA,NA,NA,NA,NA,NA,NA,"Chicago","Illinois",42,"Hyatt Regency","Regency Club",2019,36,"Yes","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","Y","N","N","Y","N","Y","N","N","N","N","N","","","Y","Internet",""
"29","TRANSIENT","0609","QNQN","2014-12-12",3,2,"BUSINESS",650.26,17.5,"CONFRM","TRANSIENT","","","Future",650.26,NA,NA,NA,NA,NA,NA,NA,NA,"Nashville","Tennessee",71,"Hyatt Place","",255,13,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Internet",""
"30","CONVENTION","0411","KING","2014-12-10",1,2,"BUSINESS",63.74,0,"SHARE","CONVENTION","UNITED STATES","","Future",67.06,NA,NA,NA,NA,NA,NA,NA,NA,"Gurgaon","",20,"Hyatt Regency","",451,15,"No","Managed","N","","N","","N","N","Y","","","","","N","Y","","","","","","","N","Y","","","N","Y","","","","","Digital Channels",""
"31","TRANSIENT","0822","1VWT","2014-12-08",2,1,"BUSINESS",339.8,29.91,"CONFRM","TRANSIENT","GERMANY","Diamond","Past",435.31,NA,NA,NA,NA,NA,NA,NA,NA,"Düsseldorf","",77,"Hyatt Regency","Regency Club",303,19,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","Y","N","Y","Y","Y","Y","N","N","Y","N","Y","Y","N","N","Y","","Y","Y","Y","Global Contact Center",""
"32","CONVENTION","0406","KING","2014-12-20",1,1,"BUSINESS",99,6.45,"CONFRM","CONVENTION","UNITED STATES","","Future",99,NA,NA,NA,NA,NA,NA,NA,NA,"Sacramento","California",65,"Hyatt Regency","Regency Club",503,14,"Yes","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","Y","N","Y","Y","N","Y","Y","N","N","N","Y","","","Y","Digital Channels",""
"33","TRANSIENT","0287","DLXQ","2014-12-23",1,2,"BUSINESS",130.38,82.5,"CONFRM","TRANSIENT","UNITED STATES","","Past",130.38,NA,NA,NA,NA,NA,NA,NA,NA,"Santa Barbara","California",29,"Hyatt","",171,3,"No","Franchised","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","N","N","Y","","N","Y","Y","Internet",""
"34","CONVENTION","2909","1VWT","2014-12-07",2,1,"BUSINESS",408.66,15.62,"CONFRM","CONVENTION","FRANCE","","Future",472.99,NA,NA,NA,NA,NA,NA,NA,NA,"Paris","",-7,"Hyatt Regency","Regency Club",950,33,"No","Managed","N","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Digital Channels",""
"35","TRANSIENT","405","KING","2014-12-11",NA,3,"BUSINESS",244.97,0,"CONFRM","TRANSIENT","UNITED KINGDOM","","Past",163.32,NA,NA,NA,NA,NA,NA,NA,NA,"Dubai","",NA,"Hyatt Place","",210,NA,"No","Managed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Global Contact Center",""
"36","TRANSIENT","1701","GRSK","2014-12-08",3,2,"BUSINESS",1064.06,20.19,"CONFRM","TRANSIENT","UNITED STATES","","Past",1771.98,NA,NA,NA,NA,NA,NA,NA,NA,"Shenzhen","",66,"Grand Hyatt","Grand Club",491,38,"No","Managed","N","","N","","N","N","Y","","","","","N","Y","","","","","","","N","Y","","","N","Y","","","","","Hotel",""
"37","TRANSIENT","1901","EXST","2014-12-08",4,1,"BUSINESS",796,0,"CONFRM","TRANSIENT","UNITED STATES","Diamond","Future",796,NA,NA,NA,NA,NA,NA,NA,NA,"Denver","Colorado",61,"Grand Hyatt","Grand Club",511,26,"No","Managed","N","Y","N","N","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","Y","N","Y","N","Y","N","N","N","Y","N","","","Y","Digital Channels",""
"38","TRANSIENT","0322","DDBL","2014-12-23",1,3,"BUSINESS",75.29,0,"CONFRM","TRANSIENT","","","Past",75.29,NA,NA,NA,NA,NA,NA,NA,NA,"Glen Allen","Virginia",54,"Hyatt Place","",124,6,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Internet",""
"39","CONVENTION","445","KING","2014-12-25",1,2,"BUSINESS",15.7,117.15,"SHARE","CONVENTION","UNITED STATES","","Future",78.69,NA,NA,NA,NA,NA,NA,NA,NA,"Hyderabad","",73,"Park Hyatt","",209,6,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","Y","","N","Y","Y","Digital Channels",""
"40","CONVENTION","0316","DDBL","2014-12-16",1,1,"BUSINESS",55,0,"CONFRM","CONVENTION","UNITED STATES","","Future",55,NA,NA,NA,NA,NA,NA,NA,NA,"Boise","Idaho",68,"Hyatt Place","",127,4,"No","Owned","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","Y","N","N","N","N","Y","Y","N","N","N","","","N","Hotel",""
"41","TRANSIENT","0245","1BDN","2014-12-20",1,2,"BUSINESS",0,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",1,NA,NA,NA,NA,NA,NA,NA,NA,"Waltham","Massachusetts",55,"Hyatt House","",135,3,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","Y","N","N","N","","","N","Global Contact Center",""
"42","TRANSIENT","2719","VW1D","2014-12-22",5,2,"BUSINESS",1000.15,108.5,"CONFRM","TRANSIENT","UNITED ARAB EMIRATES","Gold","Future",876,NA,NA,NA,NA,NA,NA,NA,NA,"San Francisco","California",60,"Grand Hyatt","Grand Club",685,36,"Yes","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","N","Y","N","Y","Y","N","N","N","N","","","Y","Digital Channels",""
"43","TRANSIENT","1107","KING","2014-12-13",1,1,"BUSINESS",103.68,7,"CONFRM","TRANSIENT","","","Future",114.68,NA,NA,NA,NA,NA,NA,NA,NA,"Sacramento","California",65,"Hyatt Regency","Regency Club",503,14,"Yes","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","Y","N","Y","Y","N","Y","Y","N","N","N","Y","","","Y","Internet",""
"44","TRANSIENT","1114","QUEN","2014-12-19",1,1,"BUSINESS",128.62,0,"CONFRM","TRANSIENT","JAPAN","Platinum","Future",141.34,NA,NA,NA,NA,NA,NA,NA,NA,"Fukuoka","",48,"Grand Hyatt","Grand Club",370,13,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","N","N","Y","","N","N","N","Digital Channels",""
"45","CONVENTION","2785","QNQN","2014-12-12",2,2,"BUSINESS",288,0,"SHARE","CONVENTION","UNITED STATES","","Future",258,NA,NA,NA,NA,NA,NA,NA,NA,"San Diego","California",62,"Grand Hyatt","Grand Club",1625,40,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","Y","N","Y","Y","N","N","Y","","Y","Y","Y","Global Contact Center",""
"46","TRANSIENT","1955","GRND","2014-12-20",2,2,"BUSINESS",496.82,0,"CONFRM","TRANSIENT","","","Future",496.82,NA,NA,NA,NA,NA,NA,NA,NA,"New York","New York",40,"Grand Hyatt","Grand Club",1311,35,"Yes","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","N","N","N","Y","N","Y","N","N","N","N","N","","","Y","Internet",""
"47","TRANSIENT","0340","DLXN","2014-12-18",2,2,"BUSINESS",174.58,18.75,"CONFRM","TRANSIENT","","","Past",174.58,NA,NA,NA,NA,NA,NA,NA,NA,"Sandy","Utah",70,"Hyatt House","",137,4,"No","Managed","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Internet",""
"48","TRANSIENT","3116","VW1D","2014-12-19",1,2,"LEISURE",183.2,0,"CONFRM","TRANSIENT","MEXICO","","Future",183.2,NA,NA,NA,NA,NA,NA,NA,NA,"Scottsdale","Arizona",63,"Hyatt Regency","Regency Club",493,4,"No","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","N","N","Y","Y","Y","Y","Y","Y","N","Y","","Y","Y","Y","Digital Channels",""
"49","TRANSIENT","2714","VW2K","2014-12-02",3,1,"BUSINESS",867,190,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Past",867,NA,NA,NA,NA,NA,NA,NA,NA,"Scottsdale","Arizona",63,"Hyatt Regency","Regency Club",493,4,"No","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","N","N","Y","Y","Y","Y","Y","Y","N","Y","","Y","Y","Y","Digital Channels",""
"50","TRANSIENT","2227","AFKG","2014-12-15",2,1,"BUSINESS",618,42.48,"CONFRM","TRANSIENT","","","Future",618,NA,NA,NA,NA,NA,NA,NA,NA,"New York","New York",40,"Grand Hyatt","Grand Club",1311,35,"Yes","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","N","N","N","Y","N","Y","N","N","N","N","N","","","Y","GDS",""
"51","CONVENTION","2756","VW2D","2014-12-07",2,1,"BUSINESS",358,27.64,"CONFRM","CONVENTION","UNITED STATES","","Future",716,NA,NA,NA,NA,NA,NA,NA,NA,"San Diego","California",62,"Grand Hyatt","Grand Club",1625,40,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","Y","N","Y","Y","N","N","Y","","Y","Y","Y","Hotel",""
"52","TRANSIENT","0304","MONT","2014-12-26",2,1,"BUSINESS",403.2,393,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Past",582.3,NA,NA,NA,NA,NA,NA,NA,NA,"Monterey","California",36,"Hyatt Regency","Regency Club",575,3,"Yes","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","Y","Y","Y","N","Y","","Y","Y","Y","Digital Channels",""
"53","TRANSIENT","1023","QNQN","2014-12-07",3,2,"BUSINESS",510,43.75,"CONFRM","TRANSIENT","UNITED STATES","","Future",510,10,NA,10,10,NA,NA,NA,NA,"Austin","Texas",72,"Hyatt Place","",296,17,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Global Contact Center","Promoter"
"54","TRANSIENT","0333","DLXN","2014-12-07",1,1,"BUSINESS",159,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",159,NA,NA,NA,NA,NA,NA,NA,NA,"Dallas","Texas",51,"Hyatt House","",142,4,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center",""
"55","TRANSIENT","0214","QUEN","2014-12-15",1,1,"BUSINESS",209,15,"CANCEL","TRANSIENT","UNITED STATES","","Past",209,NA,NA,NA,NA,NA,NA,NA,NA,"Dallas","Texas",49,"Hyatt Regency","",811,14,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","Digital Channels",""
"56","TRANSIENT","0335","DDBL","2014-12-12",2,2,"BUSINESS",88,0,"CONFRM","TRANSIENT","","","Past",88,NA,NA,NA,NA,NA,NA,NA,NA,"New Brunswick","New Jersey",52,"Hyatt Regency","",288,7,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","N","Y","N","N","N","Y","Y","Y","N","N","N","","","Y","Opaque",""
"57","TRANSIENT","1205","KING","2014-12-19",1,1,"BUSINESS",179,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",179,NA,NA,NA,NA,NA,NA,NA,NA,"San Francisco","California",42,"Hyatt Regency","Regency Club",805,17,"Yes","Leased","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","N","Y","N","Y","N","N","N","N","N","","","Y","Digital Channels",""
"58","CONVENTION","7102","KING","2014-12-04",1,1,"BUSINESS",149,0,"CONFRM","CONVENTION","UNITED STATES","Gold","Past",149,NA,NA,NA,NA,NA,NA,NA,NA,"Orlando","Florida",71,"Hyatt Regency","",446,10,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","N","N","Y","Y","N","N","N","N","","","Y","Digital Channels",""
"59","CONVENTION","2926","CLBK","2014-12-10",1,1,"BUSINESS",144.97,0,"CONFRM","CONVENTION","SINGAPORE","","Future",160.08,NA,NA,NA,NA,NA,NA,NA,NA,"Melbourne","",53,"Grand Hyatt","Grand Club",548,33,"Yes","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","","N","N","Y","Hotel",""
"60","CONTRACT","2027","DLXK","2014-12-19",1,2,"LEISURE",109,0,"CONFRM","CONTRACT","UNITED STATES","","Past",109,NA,NA,NA,NA,NA,NA,NA,NA,"Cincinnati","Ohio",30,"Hyatt Regency","",488,22,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","N","N","N","Y","N","N","N","Y","N","N","N","N","N","","","Y","Hotel",""
"61","TRANSIENT","0618","KING","2014-12-03",3,1,"BUSINESS",330,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",330,NA,NA,NA,NA,NA,NA,NA,NA,"Columbus","Ohio",63,"Hyatt Place","",124,6,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","GDS",""
"62","TRANSIENT","0454","1BKT","2014-12-23",3,2,"BUSINESS",207,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",207,NA,NA,NA,NA,NA,NA,NA,NA,"San Diego","California",58,"Hyatt House","",194,4,"No","Managed","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","N","Digital Channels",""
"63","TRANSIENT","0805","DDBL","2014-12-19",2,2,"BUSINESS",150,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",150,NA,NA,NA,NA,NA,NA,NA,NA,"Bethesda","Maryland",35,"Hyatt Regency","",390,11,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","Y","N","Y","N","N","N","Y","Y","N","N","N","N","","","Y","Hotel",""
"64","TRANSIENT","2009","VW2D","2014-12-12",2,1,"BUSINESS",69.56,1.16,"SHARE","TRANSIENT","UNITED STATES","Diamond","Future",70.8,NA,NA,NA,NA,NA,NA,NA,NA,"Albuquerque","New Mexico",44,"Hyatt Regency","",395,20,"No","Franchised","N","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","N","N","N","N","Y","N","N","Y","Y","N","N","N","Y","","","Y","Digital Channels",""
"65","TRANSIENT","1702","TWIN","2014-12-05",1,2,"BUSINESS",112.39,25.38,"CONFRM","TRANSIENT","CHINA","","Past",154.75,NA,NA,NA,NA,NA,NA,NA,NA,"Suzhou","",NA,"Hyatt Regency","Regency Club",355,NA,"No","Managed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Global Contact Center",""
