"","MAJOR_MARKET_CODE_C","ROOM_NUM_C","ROOM_TYPE_CODE_C","CHECK_IN_DATE_C","LENGTH_OF_STAY_C","ADULT_NUM_C","POV_CODE_C","PMS_ROOM_REV_USD_C","PMS_FOOD_BEVERAGE_REV_USD_C","RESERVATION_STATUS_R","MAJOR_MARKET_CODE_R","GUEST_COUNTRY_R","MEMBER_STATUS_R","PAST_VS_FUTURE_R","REVENUE_USD_R","Gender_H","Age_Range_H","Guest_Room_H","Tranquility_H","Condition_Hotel_H","Customer_SVC_H","Staff_Cared_H","Internet_Sat_H","Check_In_H","F.B_Overall_Experience_H","City_PL","State_PL","Guest.NPS.Goal_PL","Brand_PL","Club.Type_PL","Hotel.Inventory_PL","Floors_PL","Union_PL","Relationship_PL","All.Suites_PL","Bell.Staff_PL","Boutique_PL","Business.Center_PL","Casino_PL","Conference_PL","Convention_PL","Dry.Cleaning_PL","Elevators_PL","Fitness.Center_PL","Fitness.Trainer_PL","Golf_PL","Indoor.Corridors_PL","Laundry_PL","Limo.Service_PL","Mini.Bar_PL","Pool.Indoor_PL","Pool.Outdoor_PL","Regency.Grand.Club_PL","Resort_PL","Restaurant_PL","Self.Parking_PL","Shuttle.Service_PL","Ski_PL","Spa_PL","Spa.services.in.fitness.center_PL","Spa.online.booking_PL","Spa.F.B.offering_PL","Valet.Parking_PL","Booking_Channel","NPS_Type"
"1048","","0207","1VWK","2014-03-14",2,1,"LEISURE",418,86.03,"CONFRM","CONVENTION","UNITED STATES","","Future",418,"","",NA,NA,NA,NA,NA,NA,NA,NA,"New Orleans","Louisiana",58,"Hyatt","",251,4,"No","Franchised","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","N","N","N","N","","","Y","Digital Channels",""
"1049","CONVENTION","0228","DDBL","2014-03-28",2,2,"BUSINESS",248.88,28,"SHARE","CONVENTION","UNITED STATES","","Future",298,"","",NA,NA,NA,NA,NA,NA,NA,NA,"San Francisco","California",42,"Hyatt Regency","Regency Club",805,17,"Yes","Leased","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","N","Y","N","Y","N","N","N","N","N","","","Y","Digital Channels",""
"1050","CONVENTION","1424","CLBK","2014-03-10",3,1,"BUSINESS",378.31,24.21,"CONFRM","CONVENTION","UNITED STATES","","Future",467.12,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Shanghai","",58,"Hyatt","Club",631,33,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","","N","Y","N","Hotel",""
"1051","","8025","VW1D","2014-03-14",2,1,"BUSINESS",358,59.56,"CONFRM","CONVENTION","UNITED STATES","Gold","Future",358,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Burlingame","California",47,"Hyatt Regency","Regency Club",789,9,"Yes","Managed","N","Y","N","N","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","Y","N","Y","Y","Y","N","N","N","","","Y","Global Contact Center",""
"1052","CONVENTION","1078","BUSN","2014-03-30",2,1,"BUSINESS",518,68.49,"CONFRM","CONVENTION","UNITED STATES","","Future",518,"","",NA,NA,NA,NA,NA,NA,NA,NA,"San Diego","California",62,"Grand Hyatt","Grand Club",1625,40,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","Y","N","Y","Y","N","N","Y","","Y","Y","Y","Digital Channels",""
"1053","","0605","DDBL","2014-03-03",3,2,"BUSINESS",511.78,0,"SHARE","CONVENTION","CANADA","","Future",516.86,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Vancouver","British Columbia",67,"Hyatt Regency","Regency Club",644,34,"Yes","Owned","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","Y","N","Y","Y","N","N","Y","","N","N","Y","Digital Channels",""
"1054","CONVENTION","107","TWIN","2014-03-23",3,1,"BUSINESS",287.15,164.98,"CONFRM","CONVENTION","ROMANIA","","Future",333.84,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Belgrade","",69,"Hyatt Regency","Regency Club",308,10,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","Y","Y","N","N","Y","","N","N","Y","Hotel",""
"1055","TRANSIENT","0605","DDBL","2014-03-03",1,1,"BUSINESS",135.2,0,"CONFRM","TRANSIENT","","","Past",135.2,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Charlotte","North Carolina",65,"Hyatt Place","",127,6,"No","Owned","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Internet",""
"1056","TRANSIENT","0814","CLBK","2014-03-20",2,1,"BUSINESS",219.15,0,"CONFRM","TRANSIENT","MEXICO","Gold","Future",290,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Villahermosa","",57,"Hyatt Regency","Regency Club",207,9,"Yes","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","Y","N","Y","Y","N","Y","Y","N","N","N","","N","N","Y","Hotel",""
"1057","TRANSIENT","0310","EXEN","2014-03-01",1,1,"BUSINESS",163.24,30.5,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Future",27.82,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Dania Beach","Florida",74,"Hyatt House","",143,6,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center",""
